ATM_ID,Date,Year,Month,Month_Name,Day,Week_Number,Quarter,Day_of_Week,Day_of_Week_Encoded,Is_Weekend,Time_of_Day,Time_of_Day_Encoded,Total_Withdrawals,Total_Deposits,Withdrawal_Deposit_Ratio,Location_Type,Location_Type_Encoded,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Cash_Utilization_Rate,Weather_Condition,Weather_Condition_Encoded,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
ATM_0041,2022-04-25,2022,4,April,25,17,2,Monday,1,0,Morning,1,57450,9308,6.171446986786981,Standalone,1,0,0,112953,0.5086141261044319,Rainy,2,5,44165
ATM_0007,2023-11-24,2023,11,November,24,47,4,Friday,5,0,Morning,1,72845,17896,4.070235234955579,Supermarket,2,0,0,115348,0.6315182619701948,Clear,1,0,41249
ATM_0014,2022-08-27,2022,8,August,27,34,3,Saturday,6,1,Morning,1,42957,12712,3.378982144261779,Supermarket,2,0,0,90731,0.47344927919587354,Cloudy,3,1,29901
ATM_0029,2023-08-27,2023,8,August,27,34,3,Sunday,7,1,Evening,3,43014,1375,31.260174418604652,Mall,3,0,0,88754,0.4846374852121007,Rainy,2,5,44155
ATM_0028,2022-12-15,2022,12,December,15,50,4,Thursday,4,0,Evening,3,36379,2938,12.378019734603606,Bank Branch,4,0,0,129312,0.2813251567901139,Snowy,4,0,29784
ATM_0006,2023-01-25,2023,1,January,25,4,1,Wednesday,3,0,Morning,1,46613,7278,6.403764253331501,Standalone,1,1,0,102218,0.45601111339379174,Snowy,4,0,49358
ATM_0047,2023-04-16,2023,4,April,16,15,2,Sunday,7,1,Morning,1,40990,8541,4.79864200421447,Gas Station,5,0,0,87965,0.4659754905304322,Snowy,4,5,28407
ATM_0040,2023-01-06,2023,1,January,6,1,1,Friday,5,0,Afternoon,2,77784,14112,5.511514206759725,Mall,3,0,0,75583,1.0291066892464014,Rainy,2,2,61200
ATM_0006,2022-08-27,2022,8,August,27,34,3,Saturday,6,1,Morning,1,30077,10984,2.738006372325899,Gas Station,5,0,0,114769,0.26206325694868,Snowy,4,1,18557
ATM_0024,2022-12-30,2022,12,December,30,52,4,Friday,5,0,Afternoon,2,52570,9421,5.579494799405646,Standalone,1,0,0,93977,0.5593862393326098,Clear,1,4,44240
ATM_0041,2022-06-25,2022,6,June,25,25,2,Saturday,6,1,Afternoon,2,43090,15285,2.818919272536962,Bank Branch,4,0,0,106872,0.40318883160386626,Snowy,4,5,23127
ATM_0045,2023-07-25,2023,7,July,25,30,3,Tuesday,2,0,Afternoon,2,23554,6615,3.5601571946795647,Standalone,1,0,0,112233,0.20986510326638985,Clear,1,1,12890
ATM_0003,2022-11-20,2022,11,November,20,46,4,Sunday,7,1,Night,4,65464,14656,4.4663983079757115,Standalone,1,0,0,83215,0.7866756393001346,Snowy,4,1,63076
ATM_0042,2023-05-27,2023,5,May,27,21,2,Saturday,6,1,Night,4,45361,7604,5.964628533859303,Gas Station,5,0,0,96286,0.47110201792557665,Rainy,2,1,36893
ATM_0048,2023-07-29,2023,7,July,29,30,3,Saturday,6,1,Evening,3,62187,16781,3.7055774043618164,Supermarket,2,0,0,98559,0.630955762987013,Cloudy,3,2,38349
ATM_0015,2022-05-22,2022,5,May,22,20,2,Sunday,7,1,Night,4,65052,11806,5.509612941475396,Mall,3,0,0,130760,0.49748778305458047,Clear,1,1,63284
ATM_0041,2022-06-13,2022,6,June,13,24,2,Monday,1,0,Night,4,10703,14109,0.7585400425230333,Supermarket,2,0,0,101740,0.10519849421570458,Cloudy,3,4,0
ATM_0030,2023-06-26,2023,6,June,26,26,2,Monday,1,0,Evening,3,45514,8901,5.1127836441249155,Supermarket,2,0,0,107142,0.42479676693764407,Clear,1,5,36069
ATM_0047,2022-04-28,2022,4,April,28,17,2,Thursday,4,0,Evening,3,37872,7491,5.0549919914575545,Standalone,1,0,0,118308,0.32011089604341175,Cloudy,3,1,38027
ATM_0030,2022-01-04,2022,1,January,4,1,1,Tuesday,2,0,Evening,3,54931,10485,5.238508487507152,Supermarket,2,0,0,119372,0.46016268335385724,Clear,1,5,51745
ATM_0020,2023-10-17,2023,10,October,17,42,4,Tuesday,2,0,Afternoon,2,39469,8361,4.720043051901459,Bank Branch,4,0,0,92157,0.42827535319776905,Rainy,2,4,36710
ATM_0050,2023-06-28,2023,6,June,28,26,2,Wednesday,3,0,Morning,1,28047,10025,2.7974266906044285,Supermarket,2,0,0,95308,0.294274412699745,Clear,1,0,20994
ATM_0024,2022-11-11,2022,11,November,11,45,4,Friday,5,0,Afternoon,2,44859,5988,7.490232092168976,Mall,3,0,0,96774,0.46353913717385686,Clear,1,0,40097
